name,price,one_hr,one_day,one_week,market_cap,volume,circ_supply,week,custom_index
dYdX,$2.13,0.4,-0.11,9.27,"$333,057,017","$34,814,067","156,256,174",https://coinmarketcap.com/currencies/dydx/?period=7d,14495016.66
Loopring,$0.2426,0.81,2.78,2.39,"$322,959,442","$16,948,914","1,331,523,612",https://coinmarketcap.com/currencies/loopring/?period=7d,318166.97
Enjin Coin,$0.3127,0.56,0.24,5.61,"$312,521,393","$10,704,528","1,000,000,000",https://coinmarketcap.com/currencies/enjin-coin/?period=7d,560679.57
1inch Network,"$30,699.66",0.11,0.37,1.42,"$306,351,411","$10,578,870,857","19,418,337",https://coinmarketcap.com/currencies/1inch/?period=7d,141.7
Basic Attention Token,"$1,941.85",0.11,1.03,3.13,"$305,261,511","$6,396,041,767","120,218,755",https://coinmarketcap.com/currencies/basic-attention-token/?period=7d,4920.4
SingularityNET,$0.9999,-0.02,-0.02,-0.05,"$305,174,122","$20,142,450,693","83,341,708,027",https://coinmarketcap.com/currencies/singularitynet/?period=7d,-1526.02
Gnosis,$117.50,0.0,-0.55,1.51,"$304,272,133","$507,699,496","2,589,588",https://coinmarketcap.com/currencies/gnosis-gno/?period=7d,39102.21
Mask Network,$0.9999,-0.02,-0.02,-0.01,"$27,384,515,058","$2,582,444,213","27,392,427,870",https://coinmarketcap.com/currencies/mask-network/?period=7d,-27387.25
Convex Finance,$3.83,-0.41,2.35,1.94,"$300,412,746","$1,157,542,408","78,496,602",https://coinmarketcap.com/currencies/convex-finance/?period=7d,1521672.92
Celo,$0.2916,-0.33,0.09,1.35,"$10,210,688,276","$187,751,897","34,949,879,292",https://coinmarketcap.com/currencies/celo/?period=7d,4727170.5
Qtum,$0.06779,-0.18,-0.02,3.07,"$293,467,172","$343,383,838","140,013,696,384",https://coinmarketcap.com/currencies/qtum/?period=7d,132902.23
Oasis Network,$113.37,0.75,6.16,30.28,"$8,384,802,184","$1,718,150,601","73,276,977",https://coinmarketcap.com/currencies/oasis-network/?period=7d,22394973.11
Flare,$19.34,-0.63,2.89,15.94,"$279,063,379","$479,488,685","400,893,819",https://coinmarketcap.com/currencies/flare/?period=7d,2300036.33
Bitcoin Gold,$0.07605,0.22,-1.46,4.54,"$275,045,728","$141,225,124","89,909,195,258",https://coinmarketcap.com/currencies/bitcoin-gold/?period=7d,164195.61
MX TOKEN,$5.54,0.44,3.91,8.55,"$270,740,873","$162,906,046","1,201,018,265",https://coinmarketcap.com/currencies/mx-token/?period=7d,4178401.56
Ethereum Name Service,$0.6837,-0.33,1.46,4.19,"$6,371,316,354","$250,495,992","9,319,469,069",https://coinmarketcap.com/currencies/ethereum-name-service/?period=7d,3904609.55
